Drittmittelgeber/ Funder;Förderkennzeichen;Call ;Kurztitel/ Acronym;Titel des Projekts/ Title ;Website;Projektbeginn;Projektende;Betreut durch Organisationseinheit ;Interne Projektnr.;Status;Publik
VW Stiftung;;Geistes-und-Kulturwissenschaften-digital;ArTEFACt;Analysis and Transformation of Scientific Film Archives;https://www.volkswagenstiftung.de/unsere-foerderung/unser-foerderangebot-im-ueberblick/nieders%C3%A4chsisches-vorab-geistes-und-kulturwissenschaften-digital;;;A. BuL;;Rejected;
VW Stiftung;;Geistes-und-Kulturwissenschaften-digital;;Konzeptuelles Verstehen digital modellieren und unterstützen;;;;C. VA;;Rejected;
VW Stiftung;;Geistes-und-Kulturwissenschaften-digital;;Reiseberichte im Zeitalter der Aufklärung;;;;C. DSDL;;Rejected;
EU;;H2020 MSCA-ITN-2019 Innovative Training Networks;NoBIAS;Artificial Intelligence without BIAS;;01.01.2020;31.12.2023;C. SDM;20190010;Accepted;Ja
EU;;H2020 FETOPEN-01-2018-2019-2020 FET-Open Challenging Current Thinking;SmartSkills;;;;;C. DSDL;;Rejected;
EU;;H2020 FETOPEN-01-2018-2019-2020 FET-Open Challenging Current Thinking;ORKG;Open Research Knowledge Graph;;;;C. SDM;;Rejected;
EU;;INFRAEOSC-02-2019 Prototyping New Innovative Services;VRE4EOSC;A Virtual Research Environment for the European Open Science Cloud;;;;C. DSDL;;Rejected;
EU;;INFRAEOSC-02-2019 Prototyping New Innovative Services;KOINE;Interdisciplinary data interoperability, discovery and exploitation in the EOSC;;;;C. DSDL;;Rejected;
BMBF;16IFI101;Weiterentwicklung der Indikatorik für Forschung und Innovation;TrenDTF;Aufbereitung und Analyse der Deutschen Forschungsberichte zur Indikatorik von Forschungsaktualität und -trends ;https://projects.tib.eu/trendtf/;01.10.2019;30.09.2022;C. OSL;53000013;Accepted;ja
Leibniz-Gemeinschaft;Strategiefonds-2019-TIB-Publikationsfonds;Strategiefonds;Open Access Publikationsfonds III 2019 ;Open-Access-Publikationsfonds der Leibniz-Gemeinschaft (Zeitschriften) 2019-2021;;01.04.2019;31.03.2021;B. PD;54000004;Accepted;
G-BA;;https://innovationsfonds.g-ba.de/versorgungsforschung/foerderbekanntmachung-versorgungsforschung-zum-themenspezifischen-bereich.20;MIGA;MIGA: Predicting long-term mortality in ICU medicine - Big Data for Quality Improvement;;01.01.2020;31.12.2022;C. SDM;;Rejected;
DFG;;UK-German Funding Initiative in the Humanities (Sachbeihilfe);X-Sketchbook;The change of architectural design practice with the digital turn and the sketchbook of the future;;;;C. OSL;;Rejected;
DFG;;LIS - Infrastruktur für elektr. Publikationen und dig. Wiss. Komm. ;OLS;Open Library of Science;;;;B. PD;;Rejected;
BMBF;;"BMBF-Forschungsmarketingkampagne ""The Future of Work"" ";BRIDGE-US;Big data made in Germany inspiriting the US (TIB als Unterauftragnehmer);;01.06.2019;31.05.2021;C. DSDL;;Accepted;Ja
