Drittmittelgeber/ Funder;Förderkennzeichen;Call ;Kurztitel/ Acronym;Titel des Projekts/ Title ;Website;Projektbeginn;Projektende;Betreut durch Organisationseinheit ;Interne Projektnr.;Status;Publik
EU;;ERASMUS-EDU-2023-CBHE-STRAND-2;OERA;Open Education Resources Academy;;;;C. NTM;;Rejected;
EU;101129236;ERASMUS-EDU-2023-CBHE-STRAND-3;DigiUni;Digital University – Open Ukrainian Initiative;;01.12.2023;30.11.2027;C. NTM;20230024;Accepted;
BMBF;;Forschungsvorhaben im Themenfeld Wissenschaftskommunikation;OSciB;Open Science Bridge - Wissensgraph und Dialogplattform für Forschungsinhalte in der Wissenschaftskommunikation;;01.07.2023;30.06.2026;D. DSDL;;Rejected;
MWK;;Innovative Hochschulprojekte;;Basisangebot von Dienstleistungen zum Forschungsdatenmanagement in Niedersachsen;;14.10.2022;13.12.2024;D. DSDL;56000030;Accepted;
EU;;HORIZON-EIC-2023-PATHFINDEROPEN-01-01;REALIZE;Hybrid Modeling Approaches For Personalized Therapies;;;;C. SDM;;Rejected;
EU;;HORIZON-MSCA-2022-SE-01-01;AI-Motivate;A Novel Game Theoretical Model for Decision Making in AI-based MObile IntervenTIon Systems for Healthcare;;;;C. OSL;;Rejected;
EU;;HORIZON-INFRA-2023-EOSC-01-03;EWOKS;EOSC Web of Knowledge for Science;;;;D. KI;;Rejected;
EU;;HORIZON-INFRA-2023-EOSC-01-05;EOSC-Nudge;;;;;C. E;;Rejected;
EU;;HORIZON-CL2-2023-HERITAGE-01-03;COLETTE;Contentious Content Management by Legal, Ethics, and Technology Framework;;;;D. DSDL;;Submitted;
EU;;HORIZON-CL2-2023-HERITAGE-01-03;SCARVES;Strengthening Contextualisation in ARchiVES;;;;C. OSL;;Submitted;
BMBF;;ERA4Health - Increasing health equity through promoting healthy diets and physical activity (HealthEquity);;Cancer PAtients NutRition and PhysIcal FitNess TraininG;;;;C. SDM;;Rejected;
VW Stiftung;S141759;Pioniervorhaben – Impulse für das Wissenschaftssystem;SerVo;SerVo: Self-creation of Video Abstracts;;;;C. VA;;Rejected;
VW Stiftung;;Pioniervorhaben – Impulse für das Wissenschaftssystem;ODDS;Ontology for Diverse and Dynamic Resources in Science;;;;D. KI;;Rejected;
DFG;"KR 4535/1-1 ; VI 1050/5-1";LIS e-Research Technologies;LDM-TRR;Leibniz Data Manager - Taking LDM into the Transparent, Reproducible, and Responsible Management of Digital Research Objects Across Various Repositories;;;;C. NTM;;Rejected;
DFG;SE 1827/19-3;LIS Fachinformationsdienste für die Wissenschaft;FID BAUdigital - 1. Fortsetzung (Wiedereinreichung des abgelehnten Antrags);FID Bauingenieurwesen, Architektur und Urbanistik digital (1. Fortsetzungsantrag);;;;A. W-Dienst;;Rejected;
EU;;;Swipe;;;;;;;Rejected;
EU;;HORIZON-HLTH-2023-TOOL-05-04;GLADIATOR;Genomic and medicaL heAlth Data IntegrATiOn for impRoved clinical outcomes;;;;C. SDM;;Rejected;
DFG;SE 1827/10-3;LIS Fachinformationsdienste für die Wissenschaft;FID MOVE 3 (2. Fortsetzungsantrag);Fachinformationsdienst Mobilitäts- und Verkehrsforschung;;12.12.2023;30.04.2027;A. W-Dienst;51000088;Accepted;
BMBF;;Aufbau von Datenkompetenzzentren in der Wissenschaft;DKZ NatEx;Datenkompetenzzentrum für experimentelle Naturwissenschaften;;01.11.2023;31.10.2026;C. LSK;;Rejected;
DFG;SE 1827/22-2;LIS Fachinformationsdienste für die Wissenschaft;FID Materials Sciences 2 (1. Fortsetzungsantrag);Fachinformationsdienst Materialwissenschaft und Werkstofftechnik - FID Materials Science;;12.12.2023;31.12.2026;A. W-Dienst;51000089;Accepted;
Leibniz-Gemeinschaft;T139/2023;Leibniz-Wettbewerb-2024: Leibniz Transfer;ed4all;Towards the next generation of online learning: A community based, and Artificial Intelligence driven educational platform for all;;01.01.2024;31.12.2026;C. LSA;;Rejected;
EU;101140217;ERASMUS-EDU-2023-PI-ALL-INNO-EDU-ENTERP;AI2MED;Artificial Intelligence in Medical Care: Reducing Errors and Saving Lives;;01.02.2024;31.01.2027;D. DSDL;57000024;Accepted;
EU;101139949;HORIZON-KDT-JU-2023-3-IA-Topic-1;SC4EU;True demand-driven semiconductor supply chains for Europe;;01.12.2023;30.11.2026;D. DSDL;57000023;Accepted;
EU;101140087;HORIZON-KDT-JU-2023-1-IA-Focus-Topic-3;Smarty;Scalable and Quantum Resilient Heterogeneous Edge Computing enabling Trustworthy AI;;01.06.2024;31.05.2027;D. DSDL;20230027;Accepted;
DFG;;"DFG-LIS ""Infrastrukturen für wiss. Publizieren""";WISENT;Wissenschaftsunterstützendes Empfehlungssystem für Gutachter:innen;;;;B. PD;;Rejected;
BMBF;;Forschungs- und Entwicklungszusammenarbeit zwischen Deutschland und der Ukraine;GURAMI;German-Ukrainian Research Analysis and Mapping Initiative;;;;C. OSL;;Rejected;
BMBF;;Projekte zur Stärkung, Erweiterung und Vernetzung von OER-Communities ;OER4Memory;Communitys für offene Bildungsressourcen in der Erinnerungskultur;;01.01.2024;31.12.2026;C. OSL;;Rejected;
BMBF;;Projekte zur Stärkung, Erweiterung und Vernetzung von OER-Communities ;OER-health-community;OER-Community für eine innovative, hochwertige Bildung in den Gesundheitsberufen ;;01.05.2024;30.04.2027;C. LSA;;Rejected;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) ;TS4NFDI;Basisdienstentwicklung „Terminology-Services“ ;;01.01.2024;31.12.2024;C. LSK;51000086;Accepted;
BMBF;;Projekte zur Stärkung, Erweiterung und Vernetzung von OER-Communities ;NaWiOER;OER in der naturwissenschaftlichen Lehrkräftebildung;;01.01.2024;31.12.2026;C. NTM;;Rejected;
BMBF;;Projekte zur Stärkung, Erweiterung und Vernetzung von OER-Communities ;OpenCultureEd;Gemeinsam für eine offene interkulturelle Bildung: Stärkung einer OER-Community-of-Practice zur Förderung interkultureller Kompetenz;;01.01.2024;31.12.2026;C. NTM;;Rejected;
DFG;SE 1827/16-3;"DFG-LIS ""Infrastrukturen für wiss. Publizieren""";ConfIDent 2 (Resubmission 2023);ConfIDent 2 - Mehr Transparenz für wissenschaftliche Konferenzen;;;;A. Ref. PM;;Rejected;
DFG;;"DFG-LIS ""Information Infrastructures for Research Data""";PIDINST-Future;Information infrastructure for the persistent identification of instruments;;;;D. KI;;Rejected;
BMBF;;Fördermaßnahme: DATIpilot: Modul 1 - Innovationssprints;WisTraFAIR;WissenstransFAIR - Wissen gemeinsam vernetzen und FAIR teilen;;01.06.2024;30.11.2025;;;Rejected;
BMBF;;Fördermaßnahme: DATIpilot: Modul 1 - Innovationssprints;KIVipro;Künstliche Intelligenz-unterstützte wissenschaftliche Videoproduktion fördern und lernen;;01.09.2024;28.02.2026;C. NTM;53000047;Accepted;
MWK;;Förderung wissenschaftliche Bibliotheken im Land Niedersachsen im Haushaltsjahr 2023;;B!SON in Niedersachsen;;01.03.2023;31.12.2023;B. PD;56000025;Accepted;
BMBF;;Fördermaßnahme: DATIpilot: Modul 1 - Innovationssprints;ECOWISS;Reibungsfreies Wissen als Triebwerk moderner Wissensökonomien;;01.06.2024;30.11.2025;D. KI;;Rejected;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) ;PID4NFDI;Basisdienstentwicklung (PID4NFDI) ;;01.01.2024;31.12.2024;A. Ref. PM;51000087;Accepted;
DFG;;SFB /Transregio 375: Multifunctional High-Performance Components made of hybrid porous materials (HyPo);SFB/TR375;Teilprojekt INF: Information management and information infrastructure - Research data man-agement for hybrid porous materials;;01.04.2024;31.12.2027;C. LSK;51000093;Accepted;
DFG;;NFDI4Culture flexible funds;Extending the iArt project;Weiterentwicklung der Software iArt;;01.01.2023;31.12.2023;C. OSL;51000085;Accepted;
BMBF;;Digitalisierung der Materialforschung in Deutschland (MaterialDigital 3 );DIPONI;Digitale Transformation in der Polymerherstellung: Interoperabilität und Lösungen des maschinellen Lernens zur Prozessoptimierung und Nachhaltigkeitssteigerung im industriellen Umfeld;;;;D. KCB;;Submitted;
Humboldt-Stiftung;;Humboldt-Stiftung Philipp-Schwartz-Initiative;DE-EU Comparison;Comparative Analysis of National Scientific Systems through University Journals in the Advanced;;;;C. OSL;;Rejected;
EU;;HORIZON-MSCA-2023-PF-01-01;NeSyKG;and Emerging Economies: The Case of Germany and Ukraine;;;;D. DSDL;;Rejected;
EU;;HORIZON-MSCA-2023-PF-01-01;Peer.AI;Facilitating peer-review with knowledge-driven validation of scientific contributions;;;;D. DSDL;;Rejected;
EU;;HORIZON-MSCA-2023-PF-01-01;AI4Sci;Extracting Semantics from Scientific Documents into a Knowledge Graph;;;;D. DSDL;;Rejected;
DFG;;DFG Walter-Benjamin;Predatory Journals;Untersuchung der Auswirkungen von Predatory-Konferenzen auf die Vertrauenswürdigkeit der Wissenschaft: Zerstörerische Praktiken und Verhaltensweisen im akademischen Bereich;;;;C. OSL;;Rejected;
EU;;HORIZON-ERC-2024-POC;Science2IndustryGraph;Facilitating the Transfer of Research Results to Industry with the Open Research Knowledge Graph;;;;D. DSDL;;Rejected;
MWK;;;Hybrint;Hybrid Intelligence through Interpretable AI in Machine Perception and Interaction;;01.10.2023;30.09.2026;C. DSDL;20230025;Accepted;
EU;;HORIZON-WIDERA-2023-ACCESS-02-01;GAI4Work;Generative AI for jobs: facing the (un)intended consequences;;;;C. LSA;;Rejected;
MWK;11-76251-11570/2023 (ZN4277);"Programm „zukunft.niedersachsen""; Hochschule.digital Niedersachsen";"Aufbau der Landesinitiative Forschungsdatenmanagement Niedersachsen - Säule 1 „Etablierung einer zentralen Service- und Beratungsstelle""";;;01.01.2024;31.12.2028;B. PD;56000042;Accepted;
MWK;;Pro*Niedersachsen - Forschungsvorhaben aus dem Bereich Geistes-, Kultur- und Sozialwissenschaften;Koloniale Spuren   (Überarbeitung);Koloniale Spuren in Tansania und Niedersachsen – Ein interaktiver postkolonialer Atlas;;01.10.2024;30.09.2026;C. OSL;;Rejected;
BMBF;;DATIpilot - Modul 2 - Innovationscommunities;WissensWert;Innovationsnetzwerk für nachhaltige Entwicklung im kollaborativen Wissens-Wert-Kreislauf;;01.09.2024;31.08.2026;D. DSDL;;Rejected;
BMBF;;DATIpilot - Modul 2 - Innovationscommunities;Sportdatenraum;Datengestützte Entscheidungen im kommunalen und organisierten Sport – Aufbau eines integrierten Sportdatenraums;;;;D. KI;;Rejected;
BMDV;;"Förderrichtlinie „mFUND""";FDO-iP;FAIR Digital Objects into Practice;;;;D. KI;;Rejected;
Alfred Landecker Foundation;; Academic Research Grant;Maps of Memory;Maps of memory - advancing open data research in collaborative environments;;01.01.2024;31.12.2026;C. OSL;;Rejected;
MWK;;Bibliothekssondermittel;;Möglichkeiten des Einsatzes von KI-Erweiterungen für SMW-basierte Dienste an der TIB;;01.11.2023;05.12.2023;A. Ref. PM;56000035;Accepted;
MWK;;Bibliothekssondermittel - Förderung der Wissenschaftlichen Bibliotheken im Land Niedersachsen im Haushaltsjahr 2024;;Interaktiver Datenaustausch zwischen Forschungsdatenrepositorien mittels Wissensgraphen im niedersächsischen Raum - Eine Machbarkeitsstudie;;08.05.2024;07.05.2025;C. NTM;56000046;Accepted;
MWK;;zukunft.niedersachsen: Digitalität der wissenschaftlichen Bibliotheken - Handlungsfeld 2: Digitale Langzeitarchivierung;LZA  - Teilantrag 1 Hardware;Förderung der LZA für das Land Niedersachsen - Teilantrag Hardware;;29.11.2023;28.11.2028;A. BuL;56000041;Accepted;
MWK;;zukunft.niedersachsen: Digitalität der wissenschaftlichen Bibliotheken - Handlungsfeld 2: Digitale Langzeitarchivierung;LZA  - Teilantrag 2 Umsetzung;Förderung der LZA für das Land Niedersachsen - Teilantrag Umsetzung;;;;A. BuL;;Submitted;
DFG;NA 1973/1-1;DFG Walter-Benjamin;University Journals;Role of University Journals in Scholarly Communication in Academic Publisher Oligopoly Environment;;01.07.2024;30.06.2026;C. OSL;51000090;Accepted;
BMWK;;Digitalisierung der Fahrzeughersteller und Zulieferindustrie und industrieller Lieferketten;ORCA;Inter-Organizational Resilience Communication Agents;;01.06.2024;30.11.2026;D. DSDL;;Rejected;
DFG;;DFG Priority Programm “Hybrid Decision Support in Product Creation” (SPP 2443) ;;HUMAn-Centered & Neuro-Symbolic DECIsion Support in CIrcular PrOduct ENgineering (HUMAN-DECISION);;;;D. DSDL;;Accepted;
EU;;ERC-2024-SyG;SEE-ID;;;;;C. VA;;Submitted;
EU;;HORIZON-CL3-2023-CS-01-03;ASSURE;;;;;D. DSDL;;Submitted;
MWK;76202-3144/2021 (76ZN2002);PRO*Niedersachsen – Forschungsprojekte der Geistes-, Kultur- und Sozialwissenschaften;InArbeit;Intelligenter Arbeitsmarkt? Auswirkungen der KI-Transformation auf Berufe, Branchen und Regionen;;01.01.2023;30.12.2025;C. LSA;56000036;Accepted;
MWK;;"Europa Programm - Niedersachsen – eine starke Region für Forschung und Innovation in Europa'  Förderformat: ""Niedersachsen KONSORT""";KONSORT #semanticClimate:;"KONSORT #semanticClimate: Mit Partizipation und offenen
Wissengraphen Klimaschutz-Wissen in die Gesellschaft bringen";;01.01.2024;30.06.2025;C. OSL;;Rejected;
DFG;;"DFG-LIS ""e-Research Technologien""";;"AI-powered In-depth Semantification of Scholarly Publications in
Materials Science and Engineering";;;;D. KCB;;Rejected;
DAAD;57723232;Ukraine digital: Studienerfolg in Krisenzeiten sichern (2024);Open Education Resources with Ukraine (OER with Ukraine);OER with Ukraine;;01.01.2024;31.12.2024;C. NTM;20240028;Accepted;
VW Stiftung;;zukunft.niedersachsen: Neue Fragestellungen der personalisierten Medizin in Prävention, Diagnostik oder Therapie;Inter-Fib;Understanding Intervention-Induced Fibrosis (Inter-Fib);;01.10.2024;30.09.2028;C. SDM;;Submitted;
VW Stiftung;;zukunft.niedersachsen: Neue Fragestellungen der personalisierten Medizin in Prävention, Diagnostik oder Therapie;Inter-Fib;Understanding Intervention-Induced Fibrosis (Inter-Fib);;01.10.2024;30.09.2028;C. NTM;;Submitted;
VW Stiftung;;zukunft.niedersachsen: Neue Fragestellungen der personalisierten Medizin in Prävention, Diagnostik oder Therapie;Indivivac;Understanding individual vaccine responses for personalization of infectious disease prevention - Indivivac;;01.01.2025;31.12.2028;C. SDM;;Submitted;
VW Stiftung;;zukunft.niedersachsen: Neue Fragestellungen der personalisierten Medizin in Prävention, Diagnostik oder Therapie;Indivivac;Understanding individual vaccine responses for personalization of infectious disease prevention - Indivivac;;01.01.2025;31.12.2028;C. NTM;;Submitted;
BMBF;;Umgang mit Vielfalt ? Unterricht diversitätssensibel und lernwirksam gestalten;SelfDi;Diversitätsbezogene Selbstreflexivität als Schlüssel zu einem diversitätssensiblen und lernwirksamen Unterricht - Entwicklung und Implementierung einer KI-gestützten Lösung;;01.01.2025;31.12.2027;C. NTM;;Submitted;
BMBF;;Umgang mit Vielfalt ? Unterricht diversitätssensibel und lernwirksam gestalten;LLMs4Vielfalt;LLMs4Vielfalt: Methoden, Konzepte und LLM-basierte Tools für den technologie-unterstützten Umgang mit Vielfalt an Schulen;;01.01.2025;31.12.2027;C. VA;;Submitted;
Leibniz-Gemeinschaft;;Leibniz-Labs ;Leibniz-Lab Science Observatory;Leibniz-Lab Science Observatory - Evidence Hub gegen Desinformation und Analyse gesellschaftlicher Veränderungen durch und mit KI;;;;D. DSDL;;Rejected;
Leibniz-Gemeinschaft;;Leibniz-Labs ;Leibniz-Lab Systemische Nachhaltigkeit;Leibniz-Lab „Systemische Nachhaltigkeit“ - Biodiversität, Klima, Landwirtschaft und Ernährung innerhalb planetarer Grenzen;;01.04.2024;31.03.2027;D. KI;;Accepted;
MWK;;Agenda zukunft.niedersachsen;TRAFO NDS;Transparenz für Forschung in Niedersachsen;;01.10.2024;30.09.2029;C. OSL;;Rejected;
DFG;EW 134/20-1;DFG LIS;VABiKo;Visual Analytics für den Bildbestand der Deutschen Kolonialgesellschaft (VABiKo);;21.02.2024;20.02.2027;C. VA;51000091;Accepted;
VW Stiftung;;Pioniervorhaben – Explorationen des unbekannten Unbekannten;GAIA;GAIA: global art + intersectionality analysis;;;;C. OSL;;Rejected;
BMBF;;Förderaufruf Maßnahmen zur Etablierung nachhaltiger gemeinsamer Partnerstrukturen (EAP und ZA);SkillbridgeOER;Skills Building for Research and Innovation through German-Ukrainian Open Educational Resources;;;;C. NTM;;Submitted;
MWK;14 - 55 026-2024;Zusätzliche Förderung der Wissenschaftlichen Bibliotheken im Land Niedersachsen im Haushaltsjahr 2024;Restaurierungsmittel (Sammlung Haupt);Konervierungsprojekt für die Architektennachlässe der TIB;;01.01.2024;31.12.2024;A. Ref. L;56000043;Accepted;
EU;;HORIZON-CL2-2024-TRANSFORMATIONS-01-11;GENAI4LABOUR;Generative AI for Resilient and Equitable Labour Markets;;;;C. LSA;;Rejected;
EU;;HORIZON-CL2-2024-DEMOCRACY-01-08;FutureDEM;Shaping the Future of DEMocracy through new models of hybrid cultural spaces and social media;;;;C. OSL;;Rejected;
EU;;HORIZON-CL2-2024-DEMOCRACY-01-04;PEOPLE;PEOPLE for Digital Democracy - Plural, European and Open Digital Democracy Laboratory of Excellence;;;;D. DSDL;;Rejected;
EU;;HORIZON-CL6-2024-BIODIV-01-02;SpaceSeas;Advancing Methodological Excellence and Operational Solutions for Enhanced Conservation of Sentinel Marine Species and Biodiversity Management in International and EU Law;;;;D. KI;;Rejected;
EU;;ERASMUS-EDU-2024-PI-ALL-INNO-EDU-ENTERP;GEMINI;;;;;C. LSA;;Submitted;
EU;;HORIZON-INFRA-2024-EOSC-01-05;LUMEN;Linked User-driven Multidisciplinary Exploration Network;;;;D. KI;;Submitted;
EU;;HORIZON-INFRA-2024-EOSC-01-04;EOSC EDEN;Enhancing Digital preservation strategies at European and National level;;;;A. BuL;;Submitted;
EU;;HORIZON-INFRA-2024-EOSC-01-01;FAIR2Adapt;FAIR to Adapt to Climate Change;;;;D. KI;;Submitted;
EU;;HORIZON-INFRA-2024-TECH-01-01;INTER-ACT;Interoperable, cross-domain, cross-ERIC health data for European R&D and public health action;;;;D. DSDL;;Submitted;
Humboldt-Stiftung;;Humboldt-Stiftung Philipp-Schwartz-Initiative;DE-EU Comparison;Comparative Analysis of National Scientific Systems through University Journals in the Advanced;;;;C. OSL;;Rejected;
BMBF;;Förderung der Begleitung von Schulträgern bei Organisationsentwicklungs-Prozessen zum digitalen Wandel in der Bildung (OE_Struktur);STEP-ONE;Sozio-technische Entwicklungsperspektive - OER Nachhaltig Etablieren (STEP-ONE);;;;C. LSA;;Submitted;
DFG;;Brückenprojekt zwischen LIS und Sachbeihilfe;Translation Rights;Translation Rights – Historische Datenbank zum Übersetzungsmarkt fürdeutschsprachige Literatur und Literatur auf Deutsch;;;;C. OSL;;Submitted;
DFG;"KR 4535; VI 1050";LIS e-Research Technologies;LDM-TRR (Wiedereinreichung);Leibniz Data Manager - Taking LDM into the Transparent, Reproducible, and Responsible Management of Digital Research Objects Across Various Repositories;;;;C. NTM;;Rejected;
MWK;;Niedersachsen-Konsortium;NiedersachsenOPEN;Zentraler niedersächsischer Open-AccessPublikationsfonds „NiedersachsenOPEN“ ;;01.03.2024;28.02.2027;B. PD;56000044;Accepted;
BMBF;;Wissenschafts- und Hochschulforschung (WiHo);Konvalleria;"Konferenzorganisation: Valorisation, Aktivitäten und Rollen
unsichtbarer Arbeit im Wissenschaftssystem";;;;C. OSL;;Rejected;
BMBF;;Wissenschafts- und Hochschulforschung (WiHo);GAMS;Gekaufte Autorenschaften - Motivationen und Strukturen;;;;C. OSL;;Rejected;
BMBF;;Wissenschafts- und Hochschulforschung (WiHo);GROBI;"Verbundprojekt: Graphische Observatorien für bibliometrische Analysen - GROBI; Teilvorhaben: Observatorien für offene Forschungsinformationen";;01.01.2025;30.06.2027;C. OSL;;Submitted;
Bundesinstitut für Sportwissenschaft (BISp);;;PIDs für Sportstätten;Entwicklung und Validierung eines Verfahrens zur datenbasierten Ermittlung des indivi-duellen Sanierungsbedarfs bundesdeutscher Sportstätten anhand des baulichen Zustands sowie zur Einschätzung des lokalen Versorgungsgrads mit Kernsportstätten;;01.01.2024;30.06.2024;D. KI;59000042;Accepted;
Bundesinstitut für Sportwissenschaft (BISp);ZMI4-081404/22-23;;PIDs für Sportstätten - 2. Aufstockungsantrag;Entwicklung und Validierung eines Verfahrens zur datenbasierten Ermittlung des indivi-duellen Sanierungsbedarfs bundesdeutscher Sportstätten anhand des baulichen Zustands sowie zur Einschätzung des lokalen Versorgungsgrads mit Kernsportstätten;;01.07.2024;31.12.2024;D. KI;;Accepted;
MWK;;Pioniervorhaben – Impulse für das Wissenschaftssystem;KonKor;Korpus für die Konferenzforschung und -evaluierung;;;;A. Ref. PM;;Rejected;
DFG;;LIS-Förderprogramm: Open-Access-Publikationskosten;;"Fortsetzungsantrag „Open-Access-Publikationskosten 2025–2027 Leibniz Universität Hannover (LUH)""";;01.01.2025;31.12.2027;A. Ref. L;;Submitted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) Base4NFDI - Initialisation;KG4NFDI ;KG4NFDI - Knowledge Graph Infrastructure for the German National Research Data Infrastructure;;01.06.2024;31.05.2025;C. OSL;51000095;Accepted;
Leibniz-Gemeinschaft;T155/2024;Leibniz-Wettbewerb-2025: Leibniz Transfer;ed4all (Wiedereinreichung);Towards the next generation of online learning: A community based, and Artificial Intelligence driven educational platform for all;;01.01.2025;31.12.2027;C. LSA;;Submitted;
Leibniz-Gemeinschaft;;Leibniz-Wettbewerb-2025: Professorinnenprogramm;INSIGHT;Integrated Reasoning for Scholarly Communication Enhancements Using Multimodal Tools;;01.01.2025;31.12.2029;D. AI;;Submitted;
Leibniz-Gemeinschaft;;Leibniz-Wettbewerb-2025: Collaborative Excellence;ComScAI;Transforming Communication Science Research with Large Language Model-Powered Scholarly Knowledge Graphs;;01.01.2025;31.12.2027;D. DSDL;;Submitted;
DFG;EW 134/22-1;DFG LIS;SportVid;SportVid: Ein Portal zur Unterstützung der Suche, Analyse und Auswertung von Videos in der Sport- und Trainingswissenschaft;;01.05.2024;01.05.2027;C. VA;51000092;Accepted;
VW Stiftung;;Forschungskooperation Niedersachsen - Israel;SciAI;Transforming Scientific Funding and Research Gap Identification via AI-powered Network Science and Large Language Models;;01.01.2025;31.12.2028;D. DSDL;;Submitted;
VW Stiftung;;Forschungskooperation Niedersachsen - Israel;ReViEW;Re/ViEW – A Meta-Curatorial Workspace for the Study of Digital Remembrance Practices in Israel/Palestine and Germany, and Their Interconnections;;01.01.2025;31.12.2026;C. OSL;;Submitted;
DFG;;"LIS - Ausschreibung: “Digitalisierung und Bereitstellung (noch) rechtebewehrter Objekte“ im LIS-Förderprogramm „Digitalisierung und Erschließung""";Remedy;Remedy - Rechtemanagement und Bereitstellung von sensiblen AV-Medien am Beispiel von Medizinfilmen der ehemaligen IWF gGmbH;;;;C. NTM;;Submitted;
DFG;;"LIS - Ausschreibung: ""Fresh Momentum for Diamond Open Access"" im Förderprogramm „Infrastructures for Scholarly Publishing""";CADOA;CADOA – Capacity Building for Diamond Open Access;;01.01.2025;31.12.2026;B. PD;;Submitted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Chem;NFDI4Chem - Fachkonsortium Chemie in der NFDI;;01.10.2025;30.09.2030;C. LSK;;Submitted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Ing;;;01.10.2025;30.09.2030;;;Submitted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) ;NFDI4Culture;;;01.10.2025;30.09.2030;;;Submitted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) - Proposal for the Integration Phase of Base4NFDI;TS4NFDI (2. Phase - Integration);"Terminology Services 4 NFDI - A cross domain service for the provision, curation, development, harmonisation, and
mapping of terminologies";;01.01.2025;31.12.2026;C. LSK;;Submitted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) - Proposal for the Integration Phase of Base4NFDI;PID4NFDI (2. Phase - Integration);Persistent Identifier Services for the German National Research Data Infrastructure;;01.01.2025;31.12.2026;A. Ref. PM;;Submitted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) - Proposal for the Integration Phase of Base4NFDI;PID4NFDI (2. Phase - Integration);Persistent Identifier Services for the German National Research Data Infrastructure;;01.01.2025;31.12.2026;D. KI;;Submitted;
DFG;;Nationale Forschungsdateninfratruktur (NDFI) - Proposal for the Initialisation Phase of Base4NFDI;nfdi.software;;;01.11.2024;31.10.2025;D. DSDL;;Submitted;
MWK;;Landesinitiative Forschungsdatenmanagement (FDM-NDS) - Säule 3, erste Ausschreibung;MI-FDM (Messinstrument-FDM);Entwicklung und Validierung eines Messinstruments für FDM-Kompetenz (Verbundvorhaben);;01.01.2025;31.12.2026;C. OSL;;Submitted;
DFG;;LIS-Förderprogramm: Infrastrukturen für wissenschaftliches Publizieren;SciPAI;Entwicklung eines Infrastrukturframeworks zur dynamischen Produktion und persistenten, forschungskonformen Publikation von Wissenschaftspodcasts unter Einsatz Künstlicher Intelligenz;;;;C. NTM;;Submitted;
DFG;;LIS-Förderprogramm: Infrastrukturen für wissenschaftliches Publizieren;SciPAI;Entwicklung eines Infrastrukturframeworks zur dynamischen Produktion und persistenten, forschungskonformen Publikation von Wissenschaftspodcasts unter Einsatz Künstlicher Intelligenz;;;;C. VA;;Submitted;
